	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
        JJCC	  289	0.35%	  277	95.85% Misclassified as: JJC-6(2.08)% | JJD-3(1.04)% | JJCC_CCP-2(0.69)% | VBW-1(0.35)% | 
         RBB	  284	0.35%	  284	100.00% Misclassified as: 
         RBD	  282	0.35%	  105	37.23% Misclassified as: JJD-93(32.98)% | RBW-20(7.09)% | VBTS-14(4.96)% | VBTR-11(3.90)% | NNC-10(3.55)% | VBW-10(3.55)% | JJCS-3(1.06)% | VBOF-3(1.06)% | VBTF-3(1.06)% | CCB-2(0.71)% | RBD_CCP-2(0.71)% | VBAF-2(0.71)% | JJCC-1(0.35)% | NNC_CCP-1(0.35)% | PRI-1(0.35)% | RBN-1(0.35)% | 
   VBTR_VBAF	  270	0.33%	  250	92.59% Misclassified as: VBTR-14(5.19)% | VBAF-5(1.85)% | NNC-1(0.37)% | 
     RBD_CCP	  230	0.28%	  132	57.39% Misclassified as: JJD_CCP-52(22.61)% | VBTS_CCP-21(9.13)% | VBTR_CCP-10(4.35)% | RBW_CCP-7(3.04)% | JJCS_CCP-2(0.87)% | FW-1(0.43)% | PRSP_CCP-1(0.43)% | RBD-1(0.43)% | RBW_LM-1(0.43)% | VBOF_CCP-1(0.43)% | VBW_CCP-1(0.43)% | 
         CCR	  224	0.27%	  221	98.66% Misclassified as: RBK-2(0.89)% | JJD_CCP-1(0.45)% | 
         RBK	  224	0.27%	  190	84.82% Misclassified as: CCR-31(13.84)% | CCT-3(1.34)% | 
         VBS	  201	0.25%	  186	92.54% Misclassified as: NNC-7(3.48)% | RBF-4(1.99)% | RBT-2(1.00)% | CCR-1(0.50)% | JJD-1(0.50)% | 
         JJN	  186	0.23%	  169	90.86% Misclassified as: CDB-7(3.76)% | PRI-5(2.69)% | NNC-3(1.61)% | FW-1(0.54)% | NNP-1(0.54)% | 
         RBQ	  186	0.23%	  179	96.24% Misclassified as: PRQ-4(2.15)% | NNC-1(0.54)% | PRC-1(0.54)% | RBM-1(0.54)% | 
         CCU	  185	0.23%	  177	95.68% Misclassified as: RBL-5(2.70)% | NNC-1(0.54)% | RBK-1(0.54)% | RBW-1(0.54)% | 
         RBM	  167	0.20%	  160	95.81% Misclassified as: VBS_CCP-7(4.19)% | 
     RBI_CCP	  164	0.20%	  160	97.56% Misclassified as: RBM-4(2.44)% | 
     NNP_CCP	  160	0.20%	  148	92.50% Misclassified as: NNP-7(4.38)% | JJD_CCP-4(2.50)% | NNC_CCP-1(0.63)% | 
         RBR	  151	0.19%	  147	97.35% Misclassified as: RBL-2(1.32)% | FW-1(0.66)% | JJD-1(0.66)% | 
         PRP	  140	0.17%	  139	99.29% Misclassified as: NNC-1(0.71)% | 
    JJCS_JJD	  127	0.16%	  121	95.28% Misclassified as: JJCS_JJD_CCP-2(1.57)% | VBTS-2(1.57)% | NNP-1(0.79)% | VBOF-1(0.79)% | 
