	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
     RBD_CCP	  210	0.26%	  113	53.81% Misclassified as: JJD_CCP-51(24.29)% | VBTS_CCP-12(5.71)% | VBTR_CCP-9(4.29)% | RBW_CCP-6(2.86)% | NNC_CCP-5(2.38)% | VBOF_CCP-4(1.90)% | JJCS_CCP-3(1.43)% | JJD-2(0.95)% | FW-1(0.48)% | NNP_CCP-1(0.48)% | RBD-1(0.48)% | VBTS_VBOF-1(0.48)% | VBW_CCP-1(0.48)% | 
         JJN	  189	0.23%	  165	87.30% Misclassified as: CDB-14(7.41)% | NNC-3(1.59)% | PRI-3(1.59)% | FW-1(0.53)% | JJD-1(0.53)% | JJD_CCP-1(0.53)% | JJN_CCP-1(0.53)% | 
         VBS	  189	0.23%	  175	92.59% Misclassified as: NNC-8(4.23)% | CCR-1(0.53)% | JJD-1(0.53)% | RBD_CCP-1(0.53)% | RBT-1(0.53)% | VBOF-1(0.53)% | VBTS-1(0.53)% | 
         CCU	  188	0.23%	  177	94.15% Misclassified as: RBL-6(3.19)% | RBR-3(1.60)% | NNC-1(0.53)% | RBK-1(0.53)% | 
         RBQ	  181	0.22%	  178	98.34% Misclassified as: PRQ-1(0.55)% | RBF-1(0.55)% | RBW-1(0.55)% | 
     RBI_CCP	  165	0.20%	  160	96.97% Misclassified as: RBM-4(2.42)% | RBI-1(0.61)% | 
     NNP_CCP	  155	0.19%	  143	92.26% Misclassified as: NNP-6(3.87)% | JJD_CCP-4(2.58)% | JJN_CCP-1(0.65)% | NNC_CCP-1(0.65)% | 
         RBR	  149	0.18%	  144	96.64% Misclassified as: RBL-2(1.34)% | FW-1(0.67)% | JJD-1(0.67)% | RBP-1(0.67)% | 
         RBM	  141	0.17%	  123	87.23% Misclassified as: VBS_CCP-8(5.67)% | VBS-4(2.84)% | CCT-2(1.42)% | RBW-2(1.42)% | RBD-1(0.71)% | VBTS_CCP-1(0.71)% | 
         PRP	  140	0.17%	  139	99.29% Misclassified as: NNC-1(0.71)% | 
    VBTR_CCP	  125	0.15%	   95	76.00% Misclassified as: JJD_CCP-8(6.40)% | VBTS_CCP-8(6.40)% | RBD_CCP-6(4.80)% | VBTR-5(4.00)% | VBTR_VBAF_CCP-2(1.60)% | NNC_CCP-1(0.80)% | 
    JJCS_JJD	  121	0.15%	  113	93.39% Misclassified as: JJCS_JJD_CCP-3(2.48)% | VBTS-2(1.65)% | JJCS_JJN-1(0.83)% | NNP-1(0.83)% | VBOF-1(0.83)% | 
JJCS_JJD_CCP	  110	0.13%	  101	91.82% Misclassified as: JJCS_JJD-3(2.73)% | JJCS_JJN_CCP-2(1.82)% | JJCS_CCP-1(0.91)% | JJD_CCP-1(0.91)% | PRI_CCP-1(0.91)% | VBTS_CCP-1(0.91)% | 
         RBP	  104	0.13%	  102	98.08% Misclassified as: CCR-1(0.96)% | RBR-1(0.96)% | 
        NNCA	  101	0.12%	   87	86.14% Misclassified as: FW-8(7.92)% | NNC-3(2.97)% | CCT-1(0.99)% | NNP-1(0.99)% | NNPA-1(0.99)% | 
     PRQ_CCP	  100	0.12%	   94	94.00% Misclassified as: PRI_CCP-3(3.00)% | JJD_CCP-1(1.00)% | NNC_CCP-1(1.00)% | RBQ_CCP-1(1.00)% | 
        PMSC	   97	0.12%	   97	100.00% Misclassified as: 
     VBH_CCP	   97	0.12%	   95	97.94% Misclassified as: JJD_CCP-1(1.03)% | VBH-1(1.03)% | 
    VBTS_CCP	   93	0.11%	   59	63.44% Misclassified as: VBTR_CCP-12(12.90)% | VBTS-7(7.53)% | VBOF_CCP-6(6.45)% | RBD_CCP-5(5.38)% | JJD_CCP-2(2.15)% | RBT_CCP-1(1.08)% | RBW_CCP-1(1.08)% | 
     PRS_CCP	   87	0.11%	   86	98.85% Misclassified as: PRSP_CCP-1(1.15)% | 
     VBN_CCP	   81	0.10%	   76	93.83% Misclassified as: JJD_CCP-2(2.47)% | RBF-2(2.47)% | JJN_CCP-1(1.23)% | 
   VBTS_VBOF	   79	0.10%	    5	6.33% Misclassified as: VBTS-39(49.37)% | VBOF-24(30.38)% | VBAF-2(2.53)% | VBTR-2(2.53)% | VBTR_CCP-2(2.53)% | JJCS_JJD-1(1.27)% | JJD-1(1.27)% | JJD_CCP-1(1.27)% | NNC-1(1.27)% | VBTS_CCP-1(1.27)% | 
         PRL	   78	0.10%	   78	100.00% Misclassified as: 
     PRO_CCP	   73	0.09%	   69	94.52% Misclassified as: PRO-2(2.74)% | NNC_CCP-1(1.37)% | PRC_CCP-1(1.37)% | 
     JJC_CCP	   68	0.08%	   66	97.06% Misclassified as: JJD_CCP-1(1.47)% | NNP_CCP-1(1.47)% | 
         PRQ	   56	0.07%	   50	89.29% Misclassified as: JJD-1(1.79)% | PRC-1(1.79)% | PRI-1(1.79)% | PRO-1(1.79)% | RBQ-1(1.79)% | VBTS-1(1.79)% | 
        DTPP	   54	0.07%	   53	98.15% Misclassified as: NNC-1(1.85)% | 
        VBRF	   54	0.07%	   43	79.63% Misclassified as: VBTR_VBRF-9(16.67)% | VBTS-2(3.70)% | 
     RBT_CCP	   47	0.06%	   29	61.70% Misclassified as: JJD_CCP-13(27.66)% | RBM-3(6.38)% | RBT-2(4.26)% | 
     VBS_CCP	   46	0.06%	   13	28.26% Misclassified as: RBM-32(69.57)% | RBT_CCP-1(2.17)% | 
     PRP_CCP	   44	0.05%	   44	100.00% Misclassified as: 
     RBL_CCP	   43	0.05%	   42	97.67% Misclassified as: NNC_CCP-1(2.33)% | 
        JJCS	   38	0.05%	   30	78.95% Misclassified as: JJD-3(7.89)% | JJCS_JJD-2(5.26)% | JJCS_CCP-1(2.63)% | JJCS_JJD_CCP-1(2.63)% | VBTS-1(2.63)% | 
         RBT	   37	0.05%	   30	81.08% Misclassified as: JJD-4(10.81)% | RBD-1(2.70)% | RBM-1(2.70)% | VBS-1(2.70)% | 
   VBTR_VBOF	   37	0.05%	    2	5.41% Misclassified as: VBTR-31(83.78)% | VBTS-2(5.41)% | VBOF-1(2.70)% | VBTR_CCP-1(2.70)% | 
        PRSP	   35	0.04%	   33	94.29% Misclassified as: NNC-2(5.71)% | 
    VBOF_CCP	   30	0.04%	   16	53.33% Misclassified as: VBTS_CCP-7(23.33)% | NNC_CCP-3(10.00)% | JJCS_JJD_CCP-1(3.33)% | RBD_CCP-1(3.33)% | RBW_CCP-1(3.33)% | VBOF-1(3.33)% | 
   VBTS_VBAF	   30	0.04%	    2	6.67% Misclassified as: VBAF-28(93.33)% | 
   VBTR_VBRF	   28	0.03%	   21	75.00% Misclassified as: VBRF-6(21.43)% | VBTR-1(3.57)% | 
     VBW_CCP	   25	0.03%	    6	24.00% Misclassified as: JJD_CCP-7(28.00)% | RBD_CCP-4(16.00)% | NNC-3(12.00)% | NNC_CCP-3(12.00)% | RBD-1(4.00)% | VBH_CCP-1(4.00)% | 
    JJCS_CCP	   22	0.03%	   18	81.82% Misclassified as: RBD_CCP-3(13.64)% | JJCS_JJD_CCP-1(4.55)% | 
         PRC	   22	0.03%	   15	68.18% Misclassified as: CCB-7(31.82)% | 
         VBN	   22	0.03%	   21	95.45% Misclassified as: VBN_CCP-1(4.55)% | 
     PRC_CCP	   21	0.03%	   20	95.24% Misclassified as: PRO_CCP-1(4.76)% | 
     RBL_NNP	   20	0.02%	   18	90.00% Misclassified as: NNPA-1(5.00)% | RBL-1(5.00)% | 
      PRO_LM	   16	0.02%	   16	100.00% Misclassified as: 
         RBN	   14	0.02%	 null	0.00% Misclassified as: JJD-7(50.00)% | RBW-4(28.57)% | RBD-2(14.29)% | RBL-1(7.14)% | 
    VBRF_CCP	   11	0.01%	    9	81.82% Misclassified as: NNP_CCP-1(9.09)% | VBTR_VBRF_CCP-1(9.09)% | 
